Clase;Grupo;"Cuenta Mayor";Auxiliar;"Sub cuentas del Aux";"Sub cuentas de sub cuenta Aux";Clasificación;"Nombre de la Cuenta"
6;1;2;006;09;01;"Sub cuentas de sub cuenta Aux";"KM MOTOS - COMAYAGUA #3"
6;1;2;006;09;02;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA CUESTA #1"
6;1;2;006;09;03;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA LIBERTAD"
6;1;2;006;09;04;"Sub cuentas de sub cuenta Aux";"KM MOTOS - ENTRADA COPAN"
6;1;2;006;09;05;"Sub cuentas de sub cuenta Aux";"KM MOTOS GRACIAS LEMPIRA"
6;1;2;006;09;06;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MARCALA #1"
6;1;2;006;09;07;"Sub cuentas de sub cuenta Aux";"KM MOTOS DANLI"
6;1;2;006;09;08;"Sub cuentas de sub cuenta Aux";"KM MOTOS EL PARAISO"
6;1;2;006;09;09;"Sub cuentas de sub cuenta Aux";"KM MOTOS PUERTO CORTES"
6;1;2;006;09;10;"Sub cuentas de sub cuenta Aux";"KM MOTOS CHOLOMA"
6;1;2;006;09;11;"Sub cuentas de sub cuenta Aux";"KM MOTOS - VILLANUEVA"
6;1;2;006;09;12;"Sub cuentas de sub cuenta Aux";"KM MOTOS LA CEIBA"
6;1;2;006;09;13;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MARCALA 2"
6;1;2;006;09;14;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA ENTRADA #2"
6;1;2;006;09;15;"Sub cuentas de sub cuenta Aux";"KM MOTOS - YORO, YORO"
6;1;2;006;09;16;"Sub cuentas de sub cuenta Aux";"KM MOTOS - MORAZAN YORO"
6;1;2;006;09;17;"Sub cuentas de sub cuenta Aux";"KM MOTOS - SANTA CRUZ DE YOJOA"
6;1;2;006;09;18;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LA CUESTA #2"
6;1;2;006;09;19;"Sub cuentas de sub cuenta Aux";"KM MOTOS - TROJES"
6;1;2;006;09;20;"Sub cuentas de sub cuenta Aux";"KM MOTOS SAN JUAN"
6;1;2;006;09;21;"Sub cuentas de sub cuenta Aux";"KM MOTOS - DANLI 2"
6;1;2;006;09;22;"Sub cuentas de sub cuenta Aux";"KM MOTOS - LEPAERA"
6;1;2;007;00;00;Auxiliar;"Energia electrica"
6;1;2;007;08;00;"Sub cuentas del Aux";"Energia electrica KM motos"
